City 1,City 2,Heuristic
Trivandrum,Imphal,3483
Varanasi,Imphal,1814
Vijayawada,Imphal,2914
Vishakapatnam,Imphal,2584
Agartala,Indore,2886
Agra,Indore,591
Ahmedabad,Indore,442
Allahabad,Indore,803
Amritsar,Indore,1111
Asansol,Indore,1394
Bangalore,Indore,1339
Baroda,Indore,379
Bhopal,Indore,191
Bhubaneshwar,Indore,1275
Bombay,Indore,589
Calcutta,Indore,1608
Calicut,Indore,1607
Chandigarh,Indore,912
Cochin,Indore,1804
Coimbatore,Indore,1628
Delhi,Indore,668
Gwalior,Indore,497
Hubli,Indore,1060
Hyderabad,Indore,921
Imphal,Indore,2739
Jabalpur,Indore,702
Jaipur,Indore,405
Jamshedpur,Indore,1477
Jullundur,Indore,1043
Kanpur,Indore,689
Kolhapur,Indore,870
Lucknow,Indore,768
Ludhiana,Indore,975
Madras,Indore,1619
Madurai,Indore,1771
Meerut,Indore,732
Nagpur,Indore,445
Nasik,Indore,414
Panjim,Indore,1115
Patna,Indore,1205
Pondicherry,Indore,1667
Pune,Indore,623
Ranchi,Indore,1333
Shillong,Indore,2224
Shimla,Indore,1011
Surat,Indore,607
Trivandrum,Indore,1907
Varanasi,Indore,925
Vijayawada,Indore,1187
Vishakapatnam,Indore,1355
Agartala,Jabalpur,2417
Agra,Jabalpur,833
Ahmedabad,Jabalpur,901
Allahabad,Jabalpur,736
Amritsar,Jabalpur,1245
Asansol,Jabalpur,1131
Bangalore,Jabalpur,1296
Baroda,Jabalpur,1020
Bhopal,Jabalpur,609
Bhubaneshwar,Jabalpur,1087
Bombay,Jabalpur,1106
Calcutta,Jabalpur,1167
Calicut,Jabalpur,1643
Chandigarh,Jabalpur,1046
Cochin,Jabalpur,1808
Coimbatore,Jabalpur,1629
Delhi,Jabalpur,800
Gwalior,Jabalpur,823
Hubli,Jabalpur,1219
Hyderabad,Jabalpur,733
Imphal,Jabalpur,2270
Indore,Jabalpur,702
Jaipur,Jabalpur,845
Jamshedpur,Jabalpur,1209
Jullundur,Jabalpur,1175
Kanpur,Jabalpur,543
Kolhapur,Jabalpur,1250
Lucknow,Jabalpur,584
Ludhiana,Jabalpur,1110
Madras,Jabalpur,1431
Madurai,Jabalpur,1728
Meerut,Jabalpur,866
Nagpur,Jabalpur,257
Nasik,Jabalpur,943
Panjim,Jabalpur,1088
Patna,Jabalpur,736
Pondicherry,Jabalpur,1597
Pune,Jabalpur,1003
Ranchi,Jabalpur,1038
Shillong,Jabalpur,1755
Shimla,Jabalpur,1145
Surat,Jabalpur,1006
Trivandrum,Jabalpur,1880
Varanasi,Jabalpur,858
Vijayawada,Jabalpur,999
Vishakapatnam,Jabalpur,1167
Agartala,Jaipur,2793
Agra,Jaipur,230
Ahmedabad,Jaipur,648
Allahabad,Jaipur,710
Amritsar,Jaipur,706
Asansol,Jaipur,1304
Bangalore,Jaipur,1451
Baroda,Jaipur,767
Bhopal,Jaipur,596
Bhubaneshwar,Jaipur,1680
Bombay,Jaipur,994
Calcutta,Jaipur,1527
Calicut,Jaipur,1826
Chandigarh,Jaipur,507
Cochin,Jaipur,1834
Coimbatore,Jaipur,1784
Delhi,Jaipur,263
Gwalior,Jaipur,351
Hubli,Jaipur,1060
Hyderabad,Jaipur,1326
Imphal,Jaipur,2646
Indore,Jaipur,405
Jabalpur,Jaipur,845
Jamshedpur,Jaipur,1384
Jullundur,Jaipur,638
Kanpur,Jaipur,517
Kolhapur,Jaipur,1275
Lucknow,Jaipur,596
Ludhiana,Jaipur,570
Madras,Jaipur,1743
Madurai,Jaipur,1883
Meerut,Jaipur,327
Nagpur,Jaipur,850
Nasik,Jaipur,819
Panjim,Jaipur,1250
Patna,Jaipur,1112
Pondicherry,Jaipur,1713
Pune,Jaipur,1028
Ranchi,Jaipur,1240
Shillong,Jaipur,2131
Shimla,Jaipur,606
Surat,Jaipur,911
Trivandrum,Jaipur,2042
Varanasi,Jaipur,832
Vijayawada,Jaipur,1592
Vishakapatnam,Jaipur,1760
Agartala,Jamshedpur,2131
Agra,Jamshedpur,1157
Ahmedabad,Jamshedpur,1225
Allahabad,Jamshedpur,875
Amritsar,Jamshedpur,1767
Asansol,Jamshedpur,494
Bangalore,Jamshedpur,1682
Baroda,Jamshedpur,1344
Bhopal,Jamshedpur,1452
Bhubaneshwar,Jamshedpur,422
Bombay,Jamshedpur,1777
Calcutta,Jamshedpur,268
Calicut,Jamshedpur,1818
Chandigarh,Jamshedpur,1528
Cochin,Jamshedpur,2040
Coimbatore,Jamshedpur,1854
Delhi,Jamshedpur,1348
Gwalior,Jamshedpur,1147
Hubli,Jamshedpur,1432
Hyderabad,Jamshedpur,1466
Imphal,Jamshedpur,1985
Indore,Jamshedpur,1477
Jabalpur,Jamshedpur,1209
Jaipur,Jamshedpur,1384
Jullundur,Jamshedpur,1682
Kanpur,Jamshedpur,867
Kolhapur,Jamshedpur,1496
Lucknow,Jamshedpur,946
Ludhiana,Jamshedpur,1633
Madras,Jamshedpur,1428
Madurai,Jamshedpur,1908
Meerut,Jamshedpur,1399
Nagpur,Jamshedpur,1102
Nasik,Jamshedpur,1729
Panjim,Jamshedpur,1242
Patna,Jamshedpur,473
Pondicherry,Jamshedpur,1596
Pune,Jamshedpur,1743
Ranchi,Jamshedpur,682
Shillong,Jamshedpur,1492
Shimla,Jamshedpur,1605
Surat,Jamshedpur,1488
Trivandrum,Jamshedpur,2034
Varanasi,Jamshedpur,753
Vijayawada,Jamshedpur,1197
Vishakapatnam,Jamshedpur,867
Agartala,Jullundur,3056
Agra,Jullundur,575
Ahmedabad,Jullundur,1285
Allahabad,Jullundur,1008
Amritsar,Jullundur,393
Asansol,Jullundur,1604
Bangalore,Jullundur,2089
Baroda,Jullundur,1335
Bhopal,Jullundur,1117
Bhubaneshwar,Jullundur,2088
Bombay,Jullundur,1632
Calcutta,Jullundur,1815
Calicut,Jullundur,2341
Chandigarh,Jullundur,154
Cochin,Jullundur,2119
Coimbatore,Jullundur,2314
Delhi,Jullundur,375
Gwalior,Jullundur,616
Hubli,Jullundur,1698
Hyderabad,Jullundur,1748
Imphal,Jullundur,2909
Indore,Jullundur,1043
Jabalpur,Jullundur,1175
Jaipur,Jullundur,638
Jamshedpur,Jullundur,1682
Kanpur,Jullundur,815
Kolhapur,Jullundur,1913
Lucknow,Jullundur,868
Ludhiana,Jullundur,259
Madras,Jullundur,2253
Madurai,Jullundur,2418
Meerut,Jullundur,441
Nagpur,Jullundur,1272
Nasik,Jullundur,1457
Panjim,Jullundur,1888
Patna,Jullundur,1375
Pondicherry,Jullundur,2085
Pune,Jullundur,1666
Ranchi,Jullundur,1538
Shillong,Jullundur,2394
Shimla,Jullundur,253
Surat,Jullundur,1479
Trivandrum,Jullundur,2325
Varanasi,Jullundur,1120
Vijayawada,Jullundur,2014
Vishakapatnam,Jullundur,2182
Agartala,Kanpur,2276
Agra,Kanpur,290
Ahmedabad,Kanpur,1108
Allahabad,Kanpur,193
Amritsar,Kanpur,900
Asansol,Kanpur,789
Bangalore,Kanpur,1598
Baroda,Kanpur,1068
Bhopal,Kanpur,585
Bhubaneshwar,Kanpur,1283
Bombay,Kanpur,1278
Calcutta,Kanpur,1010
Calicut,Kanpur,1836
Chandigarh,Kanpur,661
Cochin,Kanpur,1800
Coimbatore,Kanpur,1680
Delhi,Kanpur,481
Gwalior,Kanpur,280
Hubli,Kanpur,1577
Hyderabad,Kanpur,1253
Imphal,Kanpur,2129
Indore,Kanpur,689
Jabalpur,Kanpur,543
Jaipur,Kanpur,517
Jamshedpur,Kanpur,867
Jullundur,Kanpur,815
Kolhapur,Kanpur,1559
Lucknow,Kanpur,79
Ludhiana,Kanpur,766
Madras,Kanpur,1438
Madurai,Kanpur,1603
Meerut,Kanpur,532
Nagpur,Kanpur,777
Nasik,Kanpur,1103
Panjim,Kanpur,1612
Patna,Kanpur,595
Pondicherry,Kanpur,1270
Pune,Kanpur,1312
Ranchi,Kanpur,723
Shillong,Kanpur,1614
Shimla,Kanpur,738
Surat,Kanpur,1296
Trivandrum,Kanpur,1892
Varanasi,Kanpur,315
Vijayawada,Kanpur,1519
Vishakapatnam,Kanpur,1687
Agartala,Kolhapur,3091
Agra,Kolhapur,1461
Ahmedabad,Kolhapur,911
Allahabad,Kolhapur,1611
Amritsar,Kolhapur,1981
Asansol,Kolhapur,1454
Bangalore,Kolhapur,484
Baroda,Kolhapur,792
Bhopal,Kolhapur,1061
Bhubaneshwar,Kolhapur,1622
Bombay,Kolhapur,426
Calcutta,Kolhapur,1228
Calicut,Kolhapur,830
Chandigarh,Kolhapur,1782
Cochin,Kolhapur,934
Coimbatore,Kolhapur,817
Delhi,Kolhapur,1538
Gwalior,Kolhapur,1347
Hubli,Kolhapur,444
Hyderabad,Kolhapur,578
Imphal,Kolhapur,2945
Indore,Kolhapur,870
Jabalpur,Kolhapur,1250
Jaipur,Kolhapur,1275
Jamshedpur,Kolhapur,1496
Jullundur,Kolhapur,1913
Kanpur,Kolhapur,1559
Lucknow,Kolhapur,1638
Ludhiana,Kolhapur,1845
Madras,Kolhapur,815
Madurai,Kolhapur,916
Meerut,Kolhapur,1602
Nagpur,Kolhapur,1050
Nasik,Kolhapur,456
Panjim,Kolhapur,254
Patna,Kolhapur,1849
Pondicherry,Kolhapur,812
Pune,Kolhapur,247
Ranchi,Kolhapur,1642
Shillong,Kolhapur,1887
Shimla,Kolhapur,1881
Surat,Kolhapur,659
Trivandrum,Kolhapur,1046
Varanasi,Kolhapur,1706
Vijayawada,Kolhapur,847
Vishakapatnam,Kolhapur,1177
Agartala,Lucknow,2247
Agra,Lucknow,369
Ahmedabad,Lucknow,1187
Allahabad,Lucknow,234
Amritsar,Lucknow,939
Asansol,Lucknow,825
Bangalore,Lucknow,1639
Baroda,Lucknow,1147
Bhopal,Lucknow,664
Bhubaneshwar,Lucknow,1254
Bombay,Lucknow,1357
Calcutta,Lucknow,981
Calicut,Lucknow,1877
Chandigarh,Lucknow,740
Cochin,Lucknow,1841
Coimbatore,Lucknow,1721
Delhi,Lucknow,499
Gwalior,Lucknow,359
Hubli,Lucknow,1656
Hyderabad,Lucknow,1317
Imphal,Lucknow,2100
Indore,Lucknow,768
Jabalpur,Lucknow,584
Jaipur,Lucknow,596
Jamshedpur,Lucknow,946
Jullundur,Lucknow,868
Kanpur,Lucknow,79
Kolhapur,Lucknow,1638
Ludhiana,Lucknow,803
Madras,Lucknow,1479
Madurai,Lucknow,1644
Meerut,Lucknow,453
Nagpur,Lucknow,841
Nasik,Lucknow,1182
Panjim,Lucknow,1653
Patna,Lucknow,566
Pondicherry,Lucknow,1311
Pune,Lucknow,1391
Ranchi,Lucknow,802
Shillong,Lucknow,1585
Shimla,Lucknow,659
Surat,Lucknow,1375
Trivandrum,Lucknow,1933
Varanasi,Lucknow,286
Vijayawada,Lucknow,1583
Vishakapatnam,Lucknow,1699
Agartala,Ludhiana,2991
Agra,Ludhiana,510
Ahmedabad,Ludhiana,1218
Allahabad,Ludhiana,959
Amritsar,Ludhiana,344
Asansol,Ludhiana,1555
Bangalore,Ludhiana,2021
Baroda,Ludhiana,1286
Bhopal,Ludhiana,1052
Bhubaneshwar,Ludhiana,2023
Bombay,Ludhiana,1564
Calcutta,Ludhiana,1750
Calicut,Ludhiana,2292
Chandigarh,Ludhiana,105
Cochin,Ludhiana,2070
Coimbatore,Ludhiana,2265
Delhi,Ludhiana,310
Gwalior,Ludhiana,567
Hubli,Ludhiana,1630
Hyderabad,Ludhiana,1699
Imphal,Ludhiana,2844
Indore,Ludhiana,975
Jabalpur,Ludhiana,1110
Jaipur,Ludhiana,570
Jamshedpur,Ludhiana,1633
Jullundur,Ludhiana,259
Kanpur,Ludhiana,766
Kolhapur,Ludhiana,1845
Lucknow,Ludhiana,803
Madras,Ludhiana,2204
Madurai,Ludhiana,2369
Meerut,Ludhiana,376
Nagpur,Ludhiana,1223
Nasik,Ludhiana,1389
Panjim,Ludhiana,1820
Patna,Ludhiana,1310
Pondicherry,Ludhiana,2036
Pune,Ludhiana,1598
Ranchi,Ludhiana,1489
Shillong,Ludhiana,2329
Shimla,Ludhiana,204
Surat,Ludhiana,1430
Trivandrum,Ludhiana,2260
Varanasi,Ludhiana,1055
Vijayawada,Ludhiana,1965
Vishakapatnam,Ludhiana,2133
Agartala,Madras,3023
Agra,Madras,1728
Ahmedabad,Madras,1726
Allahabad,Madras,1245
Amritsar,Madras,2338
Asansol,Madras,1386
Bangalore,Madras,331
Baroda,Madras,1607
Bhopal,Madras,1479
Bhubaneshwar,Madras,1207
Bombay,Madras,1241
Calcutta,Madras,1160
Calicut,Madras,715
Chandigarh,Madras,2099
Cochin,Madras,621
Coimbatore,Madras,426
Delhi,Madras,1895
Gwalior,Madras,1718
Hubli,Madras,683
Hyderabad,Madras,699
Imphal,Madras,2877
Indore,Madras,1619
Jabalpur,Madras,1431
Jaipur,Madras,1743
Jamshedpur,Madras,1428
Jullundur,Madras,2253
Kanpur,Madras,1438
Kolhapur,Madras,815
Lucknow,Madras,1479
Ludhiana,Madras,2204
Madurai,Madras,480
Meerut,Madras,1932
Nagpur,Madras,1174
Nasik,Madras,1271
Panjim,Madras,771
Patna,Madras,1647
Pondicherry,Madras,168
Pune,Madras,1062
Ranchi,Madras,1574
Shillong,Madras,2008
Shimla,Madras,2138
Surat,Madras,1474
Trivandrum,Madras,748
Varanasi,Madras,1753
Vijayawada,Madras,432
Vishakapatnam,Madras,762
Agartala,Madurai,3493
Agra,Madurai,1893
Ahmedabad,Madurai,1827
Allahabad,Madurai,1410
Amritsar,Madurai,2503
Asansol,Madurai,1866
Bangalore,Madurai,432
Baroda,Madurai,1708
Bhopal,Madurai,1580
Bhubaneshwar,Madurai,1687
Bombay,Madurai,1342
Calcutta,Madurai,1640
Calicut,Madurai,548
Chandigarh,Madurai,2264
Cochin,Madurai,326
Coimbatore,Madurai,521
Delhi,Madurai,2060
Gwalior,Madurai,1883
Hubli,Madurai,823
Hyderabad,Madurai,995
Imphal,Madurai,3346
Indore,Madurai,1771
Jabalpur,Madurai,1728
Jaipur,Madurai,1883
Jamshedpur,Madurai,1908
Jullundur,Madurai,2418
Kanpur,Madurai,1603
Kolhapur,Madurai,916
Lucknow,Madurai,1644
Ludhiana,Madurai,2369
Madras,Madurai,480
Meerut,Madurai,2097
Nagpur,Madurai,1471
Nasik,Madurai,1372
Panjim,Madurai,872
Patna,Madurai,1812
Pondicherry,Madurai,333
Pune,Madurai,1163
Ranchi,Madurai,2054
Shillong,Madurai,2304
Shimla,Madurai,2303
Surat,Madurai,1575
Trivandrum,Madurai,544
Varanasi,Madurai,1918
Vijayawada,Madurai,912
Vishakapatnam,Madurai,1242
Agartala,Meerut,2615
Agra,Meerut,266
Ahmedabad,Meerut,975
Allahabad,Meerut,687
Amritsar,Meerut,511
Asansol,Meerut,1278
Bangalore,Meerut,1778
Baroda,Meerut,1094
Bhopal,Meerut,808
Bhubaneshwar,Meerut,1707
Bombay,Meerut,1321
Calcutta,Meerut,1434
Calicut,Meerut,2153
Chandigarh,Meerut,314
Cochin,Meerut,2161
Coimbatore,Meerut,2111
Delhi,Meerut,66
Gwalior,Meerut,381
Hubli,Meerut,1387
Hyderabad,Meerut,1470
Imphal,Meerut,2468
Indore,Meerut,732
Jabalpur,Meerut,866
Jaipur,Meerut,327
Jamshedpur,Meerut,1399
Jullundur,Meerut,441
Kanpur,Meerut,532
Kolhapur,Meerut,1602
Lucknow,Meerut,453
Ludhiana,Meerut,376
Madras,Meerut,1932
Madurai,Meerut,2097
Nagpur,Meerut,994
Nasik,Meerut,1146
Panjim,Meerut,1577
Patna,Meerut,934
Pondicherry,Meerut,1764
Pune,Meerut,1355
Ranchi,Meerut,1236
Shillong,Meerut,1953
Shimla,Meerut,413
Surat,Meerut,1238
Trivandrum,Meerut,2016
Varanasi,Meerut,739
Vijayawada,Meerut,1736
Vishakapatnam,Meerut,1904
Agartala,Nagpur,2674
Agra,Nagpur,770
Ahmedabad,Nagpur,875
Allahabad,Nagpur,608
Amritsar,Nagpur,1357
Asansol,Nagpur,1122
Bangalore,Nagpur,1039
Baroda,Nagpur,774
Bhopal,Nagpur,352
Bhubaneshwar,Nagpur,830
Bombay,Nagpur,849
Calcutta,Nagpur,1163
Calicut,Nagpur,1386
Chandigarh,Nagpur,1118
Cochin,Nagpur,1551
Coimbatore,Nagpur,1372
Delhi,Nagpur,970
Gwalior,Nagpur,656
Hubli,Nagpur,962
Hyderabad,Nagpur,476
Imphal,Nagpur,2527
Indore,Nagpur,445
Jabalpur,Nagpur,257
Jaipur,Nagpur,850
Jamshedpur,Nagpur,1102
Jullundur,Nagpur,1272
Kanpur,Nagpur,777
Kolhapur,Nagpur,1050
Lucknow,Nagpur,841
Ludhiana,Nagpur,1223
Madras,Nagpur,1174
Madurai,Nagpur,1471
Meerut,Nagpur,994
Nasik,Nagpur,700
Panjim,Nagpur,1152
Patna,Nagpur,993
Pondicherry,Nagpur,1340
Pune,Nagpur,909
Ranchi,Nagpur,958
Shillong,Nagpur,1785
Shimla,Nagpur,1217
Surat,Nagpur,749
Trivandrum,Nagpur,1735
Varanasi,Nagpur,713
Vijayawada,Nagpur,742
Vishakapatnam,Nagpur,910
Agartala,Nasik,3238
Agra,Nasik,1005
Ahmedabad,Nasik,504
Allahabad,Nasik,1155
Amritsar,Nasik,1525
Asansol,Nasik,1746
Bangalore,Nasik,940
Baroda,Nasik,457
Bhopal,Nasik,605
Bhubaneshwar,Nasik,1516
Bombay,Nasik,197
Calcutta,Nasik,1675
Calicut,Nasik,1193
Chandigarh,Nasik,1326
Cochin,Nasik,1390
Coimbatore,Nasik,1214
Delhi,Nasik,1082
Gwalior,Nasik,891
Hubli,Nasik,646
Hyderabad,Nasik,754
Imphal,Nasik,3091
Indore,Nasik,414
Jabalpur,Nasik,943
Jaipur,Nasik,819
Jamshedpur,Nasik,1729
Jullundur,Nasik,1457
Kanpur,Nasik,1103
Kolhapur,Nasik,456
Lucknow,Nasik,1182
Ludhiana,Nasik,1389
Madras,Nasik,1271
Madurai,Nasik,1372
Meerut,Nasik,1146
Nagpur,Nasik,700
Panjim,Nasik,701
Patna,Nasik,1557
Pondicherry,Nasik,1268
Pune,Nasik,209
Ranchi,Nasik,1615
Shillong,Nasik,2063
Shimla,Nasik,1425
Surat,Nasik,262
Trivandrum,Nasik,1493
Varanasi,Nasik,1339
Vijayawada,Nasik,1023
Vishakapatnam,Nasik,1353
Agartala,Panjim,2837
Agra,Panjim,1480
Ahmedabad,Panjim,1136
Allahabad,Panjim,1419
Amritsar,Panjim,1956
Asansol,Panjim,1200
Bangalore,Panjim,440
Baroda,Panjim,1017
Bhopal,Panjim,1143
Bhubaneshwar,Panjim,1397
Bombay,Panjim,584
Calcutta,Panjim,974
Calicut,Panjim,576
Chandigarh,Panjim,1757
Cochin,Panjim,798
Coimbatore,Panjim,773
Delhi,Panjim,1513
Gwalior,Panjim,1467
Hubli,Panjim,190
Hyderabad,Panjim,676
Imphal,Panjim,2691
Indore,Panjim,1115
Jabalpur,Panjim,1088
Jaipur,Panjim,1250
Jamshedpur,Panjim,1242
Jullundur,Panjim,1888
Kanpur,Panjim,1612
Kolhapur,Panjim,254
Lucknow,Panjim,1653
Ludhiana,Panjim,1820
Madras,Panjim,771
Madurai,Panjim,872
Meerut,Panjim,1577
Nagpur,Panjim,1152
Nasik,Panjim,701
Patna,Panjim,1595
Pondicherry,Panjim,739
Pune,Panjim,501
Ranchi,Panjim,1388
Shillong,Panjim,1985
Shimla,Panjim,1856
Surat,Panjim,885
Trivandrum,Panjim,792
Varanasi,Panjim,1524
Vijayawada,Panjim,876
Vishakapatnam,Panjim,1206
Agartala,Patna,1681
Agra,Patna,885
Ahmedabad,Patna,1539
Allahabad,Patna,402
Amritsar,Patna,1445
Asansol,Patna,395
Bangalore,Patna,1807
Baroda,Patna,1582
Bhopal,Patna,1016
Bhubaneshwar,Patna,862
Bombay,Patna,1754
Calcutta,Patna,621
Calicut,Patna,2045
Chandigarh,Patna,1248
Cochin,Patna,2009
Coimbatore,Patna,1889
Delhi,Patna,1000
Gwalior,Patna,809
Hubli,Patna,1785
Hyderabad,Patna,1469
Imphal,Patna,1534
Indore,Patna,1205
Jabalpur,Patna,736
Jaipur,Patna,1112
Jamshedpur,Patna,473
Jullundur,Patna,1375
Kanpur,Patna,595
Kolhapur,Patna,1849
Lucknow,Patna,566
Ludhiana,Patna,1310
Madras,Patna,1647
Madurai,Patna,1812
Meerut,Patna,934
Nagpur,Patna,993
Nasik,Patna,1557
Panjim,Patna,1595
Pondicherry,Patna,1479
Pune,Patna,1738
Ranchi,Patna,302
Shillong,Patna,1019
Shimla,Patna,1225
Surat,Patna,1742
Trivandrum,Patna,2101
Varanasi,Patna,280
Vijayawada,Patna,1637
Vishakapatnam,Patna,1307
Agartala,Pondicherry,3160
Agra,Pondicherry,1560
Ahmedabad,Pondicherry,1723
Allahabad,Pondicherry,1077
Amritsar,Pondicherry,2170
Asansol,Pondicherry,1554
Bangalore,Pondicherry,328
Baroda,Pondicherry,1604
Bhopal,Pondicherry,1476
Bhubaneshwar,Pondicherry,1373
Bombay,Pondicherry,1238
Calcutta,Pondicherry,1328
Calicut,Pondicherry,566
Chandigarh,Pondicherry,1931
Cochin,Pondicherry,530
Coimbatore,Pondicherry,410
Delhi,Pondicherry,1727
Gwalior,Pondicherry,1550
Hubli,Pondicherry,653
Hyderabad,Pondicherry,865
Imphal,Pondicherry,3013
Indore,Pondicherry,1667
Jabalpur,Pondicherry,1597
Jaipur,Pondicherry,1713
Jamshedpur,Pondicherry,1596
Jullundur,Pondicherry,2085
Kanpur,Pondicherry,1270
Kolhapur,Pondicherry,812
Lucknow,Pondicherry,1311
Ludhiana,Pondicherry,2036
Madras,Pondicherry,168
Madurai,Pondicherry,333
Meerut,Pondicherry,1764
Nagpur,Pondicherry,1340
Nasik,Pondicherry,1268
Panjim,Pondicherry,739
Patna,Pondicherry,1479
Pune,Pondicherry,1059
Ranchi,Pondicherry,1742
Shillong,Pondicherry,2174
Shimla,Pondicherry,1970
Surat,Pondicherry,1471
Trivandrum,Pondicherry,622
Varanasi,Pondicherry,1585
Vijayawada,Pondicherry,598
Vishakapatnam,Pondicherry,930
Agartala,Pune,3338
Agra,Pune,1214
Ahmedabad,Pune,664
Allahabad,Pune,1364
Amritsar,Pune,1734
Asansol,Pune,1701
Bangalore,Pune,731
Baroda,Pune,545
Bhopal,Pune,814
Bhubaneshwar,Pune,1587
Bombay,Pune,184
Calcutta,Pune,1475
Calicut,Pune,984
Chandigarh,Pune,1535
Cochin,Pune,1181
Coimbatore,Pune,1005
Delhi,Pune,1291
Gwalior,Pune,1100
Hubli,Pune,437
Hyderabad,Pune,545
Imphal,Pune,3192
Indore,Pune,623
Jabalpur,Pune,1003
Jaipur,Pune,1028
Jamshedpur,Pune,1743
Jullundur,Pune,1666
Kanpur,Pune,1312
Kolhapur,Pune,247
Lucknow,Pune,1391
Ludhiana,Pune,1598
Madras,Pune,1062
Madurai,Pune,1163
Meerut,Pune,1355
Nagpur,Pune,909
Nasik,Pune,209
Panjim,Pune,501
Patna,Pune,1738
Pondicherry,Pune,1059
Ranchi,Pune,1675
Shillong,Pune,1854
Shimla,Pune,1634
Surat,Pune,412
Trivandrum,Pune,1293
Varanasi,Pune,1459
Vijayawada,Pune,814
Vishakapatnam,Pune,1144
Agartala,Ranchi,1983
Agra,Ranchi,1013
Ahmedabad,Ranchi,1775
Allahabad,Ranchi,704
Amritsar,Ranchi,1623
Asansol,Ranchi,640
Bangalore,Ranchi,1828
Baroda,Ranchi,1712
Bhopal,Ranchi,1308
Bhubaneshwar,Ranchi,560
Bombay,Ranchi,1807
Calcutta,Ranchi,414
Calicut,Ranchi,1964
Chandigarh,Ranchi,1384
Cochin,Ranchi,2186
Coimbatore,Ranchi,2000
Delhi,Ranchi,1204
Gwalior,Ranchi,1003
Hubli,Ranchi,1578
Hyderabad,Ranchi,1434
Imphal,Ranchi,1836
Indore,Ranchi,1333
Jabalpur,Ranchi,1038
Jaipur,Ranchi,1240
Jamshedpur,Ranchi,682
Jullundur,Ranchi,1538
Kanpur,Ranchi,723
Kolhapur,Ranchi,1642
Lucknow,Ranchi,802
Ludhiana,Ranchi,1489
Madras,Ranchi,1574
Madurai,Ranchi,2054
Meerut,Ranchi,1236
Nagpur,Ranchi,958
Nasik,Ranchi,1615
Panjim,Ranchi,1388
Patna,Ranchi,302
Pondicherry,Ranchi,1742
Pune,Ranchi,1675
Shillong,Ranchi,1321
Shimla,Ranchi,1461
Surat,Ranchi,1707
Trivandrum,Ranchi,2180
Varanasi,Ranchi,582
Vijayawada,Ranchi,1335
Vishakapatnam,Ranchi,1005
Agartala,Shillong,2700
Agra,Shillong,1904
Ahmedabad,Shillong,2518
Allahabad,Shillong,1421
Amritsar,Shillong,2464
Asansol,Shillong,1414
Bangalore,Shillong,1872
Baroda,Shillong,2399
Bhopal,Shillong,2035
Bhubaneshwar,Shillong,1640
Bombay,Shillong,2038
Calcutta,Shillong,1281
Calicut,Shillong,2219
Chandigarh,Shillong,2267
Cochin,Shillong,2384
Coimbatore,Shillong,2205
Delhi,Shillong,2019
Gwalior,Shillong,1828
Hubli,Shillong,1795
Hyderabad,Shillong,1309
Imphal,Shillong,2553
Indore,Shillong,2224
Jabalpur,Shillong,1755
Jaipur,Shillong,2131
Jamshedpur,Shillong,1492
Jullundur,Shillong,2394
Kanpur,Shillong,1614
Kolhapur,Shillong,1887
Lucknow,Shillong,1585
Ludhiana,Shillong,2329
Madras,Shillong,2008
Madurai,Shillong,2304
Meerut,Shillong,1953
Nagpur,Shillong,1785
Nasik,Shillong,2063
Panjim,Shillong,1985
Patna,Shillong,1019
Pondicherry,Shillong,2174
Pune,Shillong,1854
Ranchi,Shillong,1321
Shimla,Shillong,2244
Surat,Shillong,2266
Trivandrum,Shillong,2568
Varanasi,Shillong,1299
Vijayawada,Shillong,1578
Vishakapatnam,Shillong,1908
Agartala,Shimla,2906
Agra,Shimla,547
Ahmedabad,Shimla,1254
Allahabad,Shimla,893
Amritsar,Shimla,338
Asansol,Shimla,1484
Bangalore,Shimla,2057
Baroda,Shimla,1280
Bhopal,Shimla,1087
Bhubaneshwar,Shimla,1913
Bombay,Shimla,1600
Calcutta,Shimla,1640
Calicut,Shimla,2286
Chandigarh,Shimla,99
Cochin,Shimla,2064
Coimbatore,Shimla,2259
Delhi,Shimla,347
Gwalior,Shimla,561
Hubli,Shimla,1666
Hyderabad,Shimla,1693
Imphal,Shimla,2759
Indore,Shimla,1011
Jabalpur,Shimla,1145
Jaipur,Shimla,606
Jamshedpur,Shimla,1605
Jullundur,Shimla,253
Kanpur,Shimla,738
Kolhapur,Shimla,1881
Lucknow,Shimla,659
Ludhiana,Shimla,204
Madras,Shimla,2138
Madurai,Shimla,2303
Meerut,Shimla,413
Nagpur,Shimla,1217
Nasik,Shimla,1425
Panjim,Shimla,1856
Patna,Shimla,1225
Pondicherry,Shimla,1970
Pune,Shimla,1634
Ranchi,Shimla,1461
Shillong,Shimla,2244
Surat,Shimla,1424
Trivandrum,Shimla,2282
Varanasi,Shimla,945
Vijayawada,Shimla,1959
Vishakapatnam,Shimla,2127
Agartala,Surat,3423
Agra,Surat,1141
Ahmedabad,Surat,263
Allahabad,Surat,1357
Amritsar,Surat,1564
Asansol,Surat,1871
Bangalore,Surat,1143
Baroda,Surat,382
Bhopal,Surat,786
Bhubaneshwar,Surat,1579
Bombay,Surat,301
Calcutta,Surat,1756
Calicut,Surat,1396
Chandigarh,Surat,1325
Cochin,Surat,1593
Coimbatore,Surat,1417
Delhi,Surat,1174
Gwalior,Surat,1104
Hubli,Surat,849
Hyderabad,Surat,957
Imphal,Surat,3276
