City 1,City 2,Heuristic
Calcutta,Amritsar,1885
Calicut,Amritsar,2426
Chandigarh,Amritsar,239
Cochin,Amritsar,2204
Coimbatore,Amritsar,2399
Delhi,Amritsar,445
Gwalior,Amritsar,701
Hubli,Amritsar,1766
Hyderabad,Amritsar,1833
Imphal,Amritsar,2979
Indore,Amritsar,1111
Jabalpur,Amritsar,1245
Jaipur,Amritsar,706
Jamshedpur,Amritsar,1767
Jullundur,Amritsar,393
Kanpur,Amritsar,900
Kolhapur,Amritsar,1981
Lucknow,Amritsar,939
Ludhiana,Amritsar,344
Madras,Amritsar,2338
Madurai,Amritsar,2503
Meerut,Amritsar,511
Nagpur,Amritsar,1357
Nasik,Amritsar,1525
Panjim,Amritsar,1956
Patna,Amritsar,1445
Pondicherry,Amritsar,2170
Pune,Amritsar,1734
Ranchi,Amritsar,1623
Shillong,Amritsar,2464
Shimla,Amritsar,338
Surat,Amritsar,1564
Trivandrum,Amritsar,2395
Varanasi,Amritsar,1190
Vijayawada,Amritsar,2099
Vishakapatnam,Amritsar,2267
Agartala,Asansol,2076
Agra,Asansol,1079
Ahmedabad,Asansol,1719
Allahabad,Asansol,797
Amritsar,Asansol,1689
Bangalore,Asansol,1640
Baroda,Asansol,1773
Bhopal,Asansol,1374
Bhubaneshwar,Asansol,523
Bombay,Asansol,1784
Calcutta,Asansol,226
Calicut,Asansol,1776
Chandigarh,Asansol,1450
Cochin,Asansol,1998
Coimbatore,Asansol,1812
Delhi,Asansol,1262
Gwalior,Asansol,1069
Hubli,Asansol,1390
Hyderabad,Asansol,1567
Imphal,Asansol,1929
Indore,Asansol,1394
Jabalpur,Asansol,1131
Jaipur,Asansol,1304
Jamshedpur,Asansol,494
Jullundur,Asansol,1604
Kanpur,Asansol,789
Kolhapur,Asansol,1454
Lucknow,Asansol,825
Ludhiana,Asansol,1555
Madras,Asansol,1386
Madurai,Asansol,1866
Meerut,Asansol,1278
Nagpur,Asansol,1122
Nasik,Asansol,1746
Panjim,Asansol,1200
Patna,Asansol,395
Pondicherry,Asansol,1554
Pune,Asansol,1701
Ranchi,Asansol,640
Shillong,Asansol,1414
Shimla,Asansol,1484
Surat,Asansol,1871
Trivandrum,Asansol,1992
Varanasi,Asansol,675
Vijayawada,Asansol,1298
Vishakapatnam,Asansol,968
Agartala,Bangalore,3277
Agra,Bangalore,1681
Ahmedabad,Bangalore,1395
Allahabad,Bangalore,1405
Amritsar,Bangalore,2157
Asansol,Bangalore,1640
Baroda,Bangalore,1276
Bhopal,Bangalore,1148
Bhubaneshwar,Bangalore,1412
Bombay,Bangalore,910
Calcutta,Bangalore,1414
Calicut,Bangalore,520
Chandigarh,Bangalore,1958
Cochin,Bangalore,512
Coimbatore,Bangalore,333
Delhi,Bangalore,1714
Gwalior,Bangalore,1695
Hubli,Bangalore,391
Hyderabad,Bangalore,563
Imphal,Bangalore,3131
Indore,Bangalore,1339
Jabalpur,Bangalore,1296
Jaipur,Bangalore,1451
Jamshedpur,Bangalore,1682
Jullundur,Bangalore,2089
Kanpur,Bangalore,1598
Kolhapur,Bangalore,484
Lucknow,Bangalore,1639
Ludhiana,Bangalore,2021
Madras,Bangalore,331
Madurai,Bangalore,432
Meerut,Bangalore,1778
Nagpur,Bangalore,1039
Nasik,Bangalore,940
Panjim,Bangalore,440
Patna,Bangalore,1807
Pondicherry,Bangalore,328
Pune,Bangalore,731
Ranchi,Bangalore,1828
Shillong,Bangalore,1872
Shimla,Bangalore,2057
Surat,Bangalore,1143
Trivandrum,Bangalore,696
Varanasi,Bangalore,1752
Vijayawada,Bangalore,637
Vishakapatnam,Bangalore,1093
Agartala,Baroda,3263
Agra,Baroda,970
Ahmedabad,Baroda,119
Allahabad,Baroda,1182
Amritsar,Baroda,1420
Asansol,Baroda,1773
Bangalore,Baroda,1276
Bhopal,Baroda,570
Bhubaneshwar,Baroda,1604
Bombay,Baroda,433
Calcutta,Baroda,1612
Calicut,Baroda,1529
Chandigarh,Baroda,1181
Cochin,Baroda,1726
Coimbatore,Baroda,1550
Delhi,Baroda,1030
Gwalior,Baroda,876
Hubli,Baroda,982
Hyderabad,Baroda,1090
Imphal,Baroda,3116
Indore,Baroda,379
Jabalpur,Baroda,1020
Jaipur,Baroda,767
Jamshedpur,Baroda,1344
Jullundur,Baroda,1335
Kanpur,Baroda,1068
Kolhapur,Baroda,792
Lucknow,Baroda,1147
Ludhiana,Baroda,1286
Madras,Baroda,1607
Madurai,Baroda,1708
Meerut,Baroda,1094
Nagpur,Baroda,774
Nasik,Baroda,457
Panjim,Baroda,1017
Patna,Baroda,1582
Pondicherry,Baroda,1604
Pune,Baroda,545
Ranchi,Baroda,1712
Shillong,Baroda,2399
Shimla,Baroda,1280
Surat,Baroda,382
Trivandrum,Baroda,1809
Varanasi,Baroda,1304
Vijayawada,Baroda,1359
Vishakapatnam,Baroda,1684
Agartala,Bhopal,2697
Agra,Bhopal,782
Ahmedabad,Bhopal,523
Allahabad,Bhopal,778
Amritsar,Bhopal,1187
